monsterident;externereferentie;xcoormonster;ycoormonster;monsternemer;planvanaanpak;bemonsteringssoort;bron;analist;veldapparaat;bemonsteringsprotocol;analyseprotocol;analysecode;locatiecode;locatie namespace;locatie omschrijving;locatie x;locatie y;locatie z;locatie referentievlakzcoord;locatie KRW watertype;locatie EAG;locatie afaanvoergebied;locatie KRWmeetpuntlocatie;locatie morfologielocatie;locatie bodemsoortlocatie;locatie meetprogrammahistorie;locatie meetprogrammaactueel;locatie meetnethistorie;locatie meetnetactueel;compartiment;datum;fewsparameter;fewsparameternaam;fewsparametercategorie;fewsparametergrootheid;parametercode;grootheid;parameterfractie;parametergroep;parametertypering;biotaxonnaam;confertaxon;TWN naam;TWN taxontype;TWN taxonlevel;WNA nederlandse soortnaam;TWN taxongroup;beschermingsstatus florafaunawet;WNA oeverplantensoorten;WNA emerse plantensoorten;WNA soorten met drijvend blad;WNA kroossoorten;WNA onderwaterplantensoorten;WNA stromingsgilde vis;WNA migratiegilde vis;WNA habitatvoorkeur vis;WNA plantminnendheid vis;WNA reynolds groep cyanobacterieen;WNA zuurstoftolerante vis;WNA fytoplankton groep;WNA fytoplankton subgroep;WNA toxische blauwalg;gedrag;lengteklasse;levensstadium;levensvorm;verschijningsvorm;geslacht;limietsymbool;meetwaarde;eenheid;eenheidequivalent;eenheidreferentie;waardebewerkingsmethode;kwaliteitsoordeelcode;afronding;opmerkingmeting
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Corixidae;;Corixidae;Macroinvertebrates;Familia;;Insecta - Heteroptera;;;;;;;;;;;;;;;;;;LS-LA;;;;;16.0;n;;;MET;0;Ja;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Cricotopus sylvestris gr.;;Cricotopus sylvestris gr.;Macroinvertebrates;Species combi;;Insecta (Diptera) - Chironomidae;;;;;;;;;;;;;;;;;;LS-LA;;;;;1.0;n;;;MET;0;Ja;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Erpobdella octoculata;;Erpobdella octoculata;Macroinvertebrates;Species;;Annelida/Platyhelminthes - Hirudinea;;;;;;;;;;;;;;;;;;LS-AD;;;;;1.0;n;;;MET;0;Ja;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Erythromma viridulum;;Erythromma viridulum;Macroinvertebrates;Species;;Insecta - Odonata;;;;;;;;;;;;;;;;;;LS-LA;;;;;2.0;n;;;MET;0;Ja;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Gammarus tigrinus;;Gammarus tigrinus;Macroinvertebrates;Species;;Crustacea - Amphipoda;;;;;;;;;;;;;;;;;;LS-AD;;;;;2.0;n;;;MET;0;Ja;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Glossiphonia complanata;;Glossiphonia complanata;Macroinvertebrates;Species;;Annelida/Platyhelminthes - Hirudinea;;;;;;;;;;;;;;;;;;LS-AD;;;;;4.0;n;;;MET;0;Ja;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Glyptotendipes pallens;;Glyptotendipes pallens;Macroinvertebrates;Species;;Insecta (Diptera) - Chironomidae;;;;;;;;;;;;;;;;;;LS-LA;;;;;2.0;n;;;MET;0;Ja;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Haliplus ruficollis;;Haliplus ruficollis;Macroinvertebrates;Species;;Insecta - Coleoptera;;;;;;;;;;;;;;;;;;LS-AD;;;;;2.0;n;;;MET;0;Ja;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Hesperocorixa sahlbergi;;Hesperocorixa sahlbergi;Macroinvertebrates;Species;;Insecta - Heteroptera;;;;;;;;;;;;;;;;;;LS-AD;;;;;1.0;n;;;MET;0;Ja;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Hippeutis complanatus;;Hippeutis complanatus;Macroinvertebrates;Species;;Mollusca - Gastropoda;;;;;;;;;;;;;;;;;;LS-AD;;;;;16.0;n;;;MET;0;Ja;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Anacaena limbata;;Anacaena limbata;Macroinvertebrates;Species;;Insecta - Coleoptera;;;;;;;;;;;;;;;;;;LS-AD;;;;;1.0;n;;;MET;0;Ja;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Hygrotus inaequalis;;Hygrotus inaequalis;Macroinvertebrates;Species;;Insecta - Coleoptera;;;;;;;;;;;;;;;;;;LS-AD;;;;;1.0;n;;;MET;0;Ja;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Hyphydrus ovatus;;Hyphydrus ovatus;Macroinvertebrates;Species;;Insecta - Coleoptera;;;;;;;;;;;;;;;;;;LS-AD;;;;;2.0;n;;;MET;0;Ja;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Ilyocoris cimicoides;;Ilyocoris cimicoides;Macroinvertebrates;Species;;Insecta - Heteroptera;;;;;;;;;;;;;;;;;;LS-LA;;;;;1.0;n;;;MET;0;Ja;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Anisus vortex;;Anisus vortex;Macroinvertebrates;Species;;Mollusca - Gastropoda;;;;;;;;;;;;;;;;;;LS-AD;;;;;64.0;n;;;MET;0;Nee;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Lestes viridis;;Chalcolestes viridis;Macroinvertebrates;Species;;Insecta - Odonata;;;;;;;;;;;;;;;;;;LS-LA;;;;;7.0;n;;;MET;0;Nee;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Limnodrilus claparedeianus;;Limnodrilus claparedianus;Macroinvertebrates;Species;;Annelida/Platyhelminthes - Oligochaeta;;;;;;;;;;;;;;;;;;LS-AD;;;;;1.0;n;;;MET;0;Nee;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Lymnaea stagnalis;;Lymnaea stagnalis;Macroinvertebrates;Species;;Mollusca - Gastropoda;;;;;;;;;;;;;;;;;;LS-AD;;;;;4.0;n;;;MET;0;Nee;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Musculium lacustre;;Musculium lacustre;Macroinvertebrates;Species;;Mollusca - Bivalvia;;;;;;;;;;;;;;;;;;LS-AD;;;;;3.0;n;;;MET;0;Nee;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Physa fontinalis;;Physa fontinalis;Macroinvertebrates;Species;;Mollusca - Gastropoda;;;;;;;;;;;;;;;;;;LS-AD;;;;;12.0;n;;;MET;0;Nee;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Armiger crista;;Gyraulus crista;Macroinvertebrates;Species;;Mollusca - Gastropoda;;;;;;;;;;;;;;;;;;LS-AD;;;;;14.0;n;;;MET;0;Nee;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Piona imminuta;;Piona imminuta;Macroinvertebrates;Species;;Arachnida;;;;;;;;;;;;;;;;;;LS-AD;;;;;1.0;n;;;MET;0;Nee;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Planorbarius corneus;;Planorbarius corneus;Macroinvertebrates;Species;;Mollusca - Gastropoda;;;;;;;;;;;;;;;;;;LS-AD;;;;;10.0;n;;;MET;0;Nee;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Planorbis carinatus;;Planorbis carinatus;Macroinvertebrates;Species;;Mollusca - Gastropoda;;;;;;;;;;;;;;;;;;LS-AD;;;;;12.0;n;;;MET;0;Nee;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Planorbis planorbis;;Planorbis planorbis;Macroinvertebrates;Species;;Mollusca - Gastropoda;;;;;;;;;;;;;;;;;;LS-AD;;;;;10.0;n;;;MET;0;Nee;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Plea minutissima;;Plea minutissima;Macroinvertebrates;Species;;Insecta - Heteroptera;;;;;;;;;;;;;;;;;;LS-AD;;;;;1.0;n;;;MET;0;Nee;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Procladius;;Procladius;Macroinvertebrates;Genus;;Insecta (Diptera) - Chironomidae;;;;;;;;;;;;;;;;;;LS-LA;;;;;1.0;n;;;MET;0;Nee;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Asellus aquaticus;;Asellus aquaticus;Macroinvertebrates;Species;;Crustacea - Isopoda;;;;;;;;;;;;;;;;;;LS-AD;;;;;5.0;n;;;MET;0;Nee;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Psectrotanypus varius;;Psectrotanypus varius;Macroinvertebrates;Species;;Insecta (Diptera) - Chironomidae;;;;;;;;;;;;;;;;;;LS-LA;;;;;2.0;n;;;MET;0;Nee;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Radix ovata;;Radix balthica;Macroinvertebrates;Species;;Mollusca - Gastropoda;;;;;;;;;;;;;;;;;;LS-AD;;;;;32.0;n;;;MET;0;Nee;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Sigara falleni gr.;;Sigara falleni gr.;Macroinvertebrates;Species combi;;Insecta - Heteroptera;;;;;;;;;;;;;;;;;;LS-AD;;;;;1.0;n;;;MET;0;Nee;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Sigara striata;;Sigara striata;Macroinvertebrates;Species;;Insecta - Heteroptera;;;;;;;;;;;;;;;;;;LS-AD;;;;;26.0;n;;;MET;0;Nee;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Sphaerium corneum;;Sphaerium corneum;Macroinvertebrates;Species;;Mollusca - Bivalvia;;;;;;;;;;;;;;;;;;LS-AD;;;;;10.0;n;;;MET;0;Nee;
3244;AQS-01\ECO_SYS\0000303884;125960;483240;AQS;Onbekend;MB;TABHIST;AQS;;Onbekend;Onbekend;MEA;VGD002;NL11;volkstuinen Amstelglorie (vgl VGD029);125967;483245;;;M3;2280-EAG-1;2280;;lijnvormig;Bebouwing;FYCHEM_HYBI;;BIJLRING-WGP_historieMACEV_historieMACFT_Overig-fychem_PEBS_ROUTINE;;OW;1998-06-24 00:00;MEA_n;Macro-evertebraten (n);HYBIO;AANTL;;AANTL;;;;Tanypus kraatzi;;Tanypus kraatzi;Macroinvertebrates;Species;;Insecta (Diptera) - Chironomidae;;;;;;;;;;;;;;;;;;LS-LA;;;;;2.0;n;;;MET;0;Nee;
